2021-05-19,419
2021-05-20,418
2021-05-21,498
2021-05-22,228
2021-05-23,204
2021-05-24,350
2021-05-25,404
2021-05-26,378
2021-05-27,423
2021-05-28,400
2021-05-29,222
2021-05-30,174
2021-05-31,375
2021-06-01,377
2021-06-02,364
2021-06-03,340
2021-06-04,336
2021-06-05,205
2021-06-06,86
